id,name,city,zip_code,phone,grade,address,geolocation
41295927,22 THAI CUISINE,MANHATTAN,10038,2127660988,A,22 MAIDEN LANE,"22 Thai Cuisine, 22, Maiden Lane, Southbridge Towers, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10038, United States of America"
50060377,3E TASTE OF THAI,QUEENS,11106,7189318826,A,3416 BROADWAY,"Broadway, Woodside, Queens County, NYC, New York, 11373, United States of America"
50051482,8 PAET RIO,QUEENS,11373,9178326672,A,8110 BROADWAY,"Broadway, Woodside, Queens County, NYC, New York, 11373, United States of America"
41480423,@NINE,MANHATTAN,10036,2123071363,A,592 9 AVENUE,
50009767,A PLUS THAI PLACE,MANHATTAN,10022,2122078080,B,1007 2ND AVE,"1007, 2nd Avenue, Tudor City, Manhattan, Manhattan Community Board 6, New York County, NYC, New York, 10022, United States of America"
41560208,ABAYA THAI CUISINE,MANHATTAN,10018,2128683399,A,318 WEST   36 STREET,
50006360,ABSOLUTE THAI RESTAURANT,MANHATTAN,10029,9178643259,A,1590 LEXINGTON AVE,"1590, Lexington Avenue, Lexington Houses, Manhattan, Manhattan Community Board 11, New York County, NYC, New York, 10029, United States of America"
50035947,ACE LUCK,MANHATTAN,10018,2125947083,B,530 9TH AVE,"530, 9th Avenue, Hell's Kitchen, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10018, United States of America"
41639772,AM THAI BISTRO,BROOKLYN,11218,7182878888,B,1003 CHURCH AVENUE,"Am Thai Bistro, 1003, Church Avenue, Kensington, BK, Kings County, NYC, New York, 11218, United States of America"
50004613,AMARIN CAFE,BROOKLYN,11222,7183492788,A,617 MANHATTAN AVE,"Amarin Cafe, 617, Manhattan Avenue, Greenpoint, Kings County, NYC, New York, 11222, United States of America"
50007895,AMINA THAI,QUEENS,11432,7188801804,A,16922 HILLSIDE AVE,"Hillside Avenue, Morris Park, Queens, Queens County, NYC, New York, 11427, United States of America"
50055012,AMSTER THAI,MANHATTAN,10025,6469985414,A,844 AMSTERDAM AVE,"Krik Krak, 844, Amsterdam Avenue, Upper West Side, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10025, United States of America"
41710748,ANAGO SUSHI/ROYAL SIAM THAI,MANHATTAN,10011,2127411732,A,240 8 AVENUE,
41611450,ANDAMAN THAI BISTRO,MANHATTAN,10128,2127225671,A,1843 1 AVENUE,
40396267,ARHARN THAI CUISINE,QUEENS,11106,7187285563,A,3205 36 AVENUE,
41720477,AROY DEE THAI KITCHEN,MANHATTAN,10038,2125289922,A,20 JOHN STREET,"Arou Dee Thai Kitchen, 20, John Street, Southbridge Towers, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10038, United States of America"
50004923,ARUNEE THAI,QUEENS,11372,7182055559,A,7823 37TH AVE,"37th Avenue, Woodside, Queens County, NYC, New York, 11368, United States of America"
41614411,ASIAM THAI CUISINE,MANHATTAN,10003,2122287880,A,259 FIRST AVENUE,
50035648,AURA ZOOB ZIB,MANHATTAN,10018,2129718530,A,460 9TH AVE,"Zoob Zib Aura Thai, 460, 9th Avenue, Hell's Kitchen, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10019, United States of America"
50051879,AUTTHAROS,QUEENS,11372,7184267992,A,7128 ROOSEVELT AVE,"Roosevelt Avenue, Queens, Queens County, NYC, New York, 11368, United States of America"
50044343,AYADA THAI RESTAURANT,QUEENS,11373,7184240844,A,7708 WOODSIDE AVE,"Woodside Avenue, Woodside, Queens County, NYC, New York, 11373, United States of America"
41530103,BANGKOK 2 THAI,MANHATTAN,10010,2124734480,A,349 1 AVENUE,
50039416,BANGKOK B.A.R.,MANHATTAN,10169,9172447158,A,230 PARK AVE,"Helmsley Building, Park Avenue, Diamond District, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10037, United States of America"
50000055,BANGKOK CUISINE,QUEENS,11375,7182614005,A,10718 70TH ROAD,"70th Road, Forest Hills, Queens County, NYC, New York, 11375, United States of America"
40399285,BANGKOK GRAND PALACE,MANHATTAN,10022,2129808834,A,882 FIRST AVENUE,
41692194,BANGKOK HOUSE,MANHATTAN,10036,2125415943,A,360 WEST   46 STREET,
41180852,BANGKOK TASTY,QUEENS,11105,7185458203,A,2906 23 AVENUE,
41670993,BANGKOK THAI CUISINE,QUEENS,11354,7183531888,A,3804 PRINCE ST,"Prince Street, Linden Hill, Queens, Queens County, NYC, New York, 11354, United States of America"
50019131,BAY THAI RESTAURANT,BROOKLYN,11220,7187489354,A,6735 3RD AVE,"6735, 3rd Avenue, Bay Ridge, Kings County, NYC, New York, 11220, United States of America"
40557279,BENNIE'S THAI CAFE,MANHATTAN,10038,2125878930,A,88 FULTON STREET,"Matryoshka, 88, Fulton Street, Southbridge Towers, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10038, United States of America"
50056694,BIG BOWL,MANHATTAN,10128,2129961570,A,1764 1ST AVE,"Falafel Off the Corner, 1764, 1st Avenue, Yorkville, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10029, United States of America"
41230254,BKNY THAI RESTAURANT,QUEENS,11361,7182811900,A,4711 FRANCIS LEWIS BOULEVARD,"Francis Lewis Boulevard, Terrace Heights, Queens, Queens County, NYC, New York, 11411, United States of America"
50011584,BLACK THAI,QUEENS,11372,7187798424,A,8116 NORTHERN BLVD,"Northern Boulevard, Bayside, Queens, Queens County, NYC, New York, 11362, United States of America"
50013819,BLU  ORCHID RESTAURANT,QUEENS,11104,9178326588,A,4504 QUEENS BLVD,"Queens Boulevard, Woodside, Queens County, NYC, New York, 11435;11377;11377, United States of America"
50005684,BOON CHU #2,QUEENS,11105,7187777013,A,3513 DITMARS BLVD,"Ditmars Boulevard, North Beach, Queens County, NYC, New York, 11370, United States of America"
41321253,BOON CHU THAI RESTAURANT,QUEENS,11373,7188986836,A,8318 BROADWAY,"Broadway, Woodside, Queens County, NYC, New York, 11373, United States of America"
50040886,BOON THAI,BROOKLYN,11222,7183498215,A,681 MANHATTAN AVE,"681, Manhattan Avenue, Greenpoint, Kings County, NYC, New York, 11222, United States of America"
41455608,BORN THAI,BROOKLYN,11217,3476633674,A,293 FLATBUSH AVENUE,"born, 293, Flatbush Avenue, Prospect Heights, BK, Kings County, NYC, New York, 11217, United States of America"
50036900,CHAI THAI KITCHEN,MANHATTAN,10019,2127078778,A,930 8TH AVE,"Thai Chai Kitchen, 930, 8th Avenue, Hell's Kitchen, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10019, United States of America"
40972155,CHAI THAI RESTAURANT,BROOKLYN,11249,7185995889,A,124 NORTH    6 STREET,
50049262,CHANG NOI THAI,STATEN ISLAND,10301,7184428424,A,100 STUYVESANT PL,"Mike Food Deli, 100, Stuyvesant Place, Saint George, Richmond County, NYC, New York, 10305, United States of America"
41154580,CHAO THAI,QUEENS,11373,7184244999,B,8503 WHITNEY AVENUE,"Whitney Avenue, Elmhurst, Queens County, NYC, New York, 11373, United States of America"
50000392,CHEERS THAI RESTAURANT,BROOKLYN,11211,7185994311,A,568 METROPOLITAN AVE,"Cheers Thai, 568, Metropolitan Avenue, Williamsburg, Kings County, NYC, New York, 11211, United States of America"
41377511,CHELSEA THAI,MANHATTAN,10011,2129242999,A,88 10 AVENUE,
50014560,CHIN CHIN THAI KITCHEN,QUEENS,11377,7185249437,A,5717 ROOSEVELT AVE,"Roosevelt Avenue, Queens, Queens County, NYC, New York, 11368, United States of America"
50007620,Chaamlex,MANHATTAN,10010,2129797778,A,34 LEXINGTON AVE,"34, Lexington Avenue, Murray Hill, Manhattan, Manhattan Community Board 6, New York County, NYC, New York, 10010, United States of America"
41305361,DEE THAI RESTAURANT,QUEENS,11104,7187863137,A,4617 QUEENS BOULEVARD,"Queens Boulevard, Woodside, Queens County, NYC, New York, 11435;11377;11377, United States of America"
50047145,DEK SEN,QUEENS,11373,7183081510,A,8608 WHITNEY AVE,"Whitney Avenue, Elmhurst, Queens County, NYC, New York, 11373, United States of America"
41716975,DER KRUNG,MANHATTAN,10019,2123972036,A,860 9 AVENUE,
50045953,EAST VILLAGE THIA RESTAURANT,MANHATTAN,10003,2126734610,A,32 E 7TH ST,"East Village Thai, 32, East 7th Street, East Village, Manhattan, Manhattan Community Board 3, New York County, NYC, New York, 10009, United States of America"
50001266,ENTHAICE THAI KITCHEN,QUEENS,11106,7189321111,A,33-20 31 AVENUE,
40704155,ERAWAN THAI CUISINE,QUEENS,11361,7184282112,A,4231 BELL BOULEVARD,"Bell Boulevard, Beechhurst, Queens, Queens County, NYC, New York, 11364, United States of America"
50033872,ESAN THAI FOOD,QUEENS,11377,7184268162,A,5120 SKILLMAN AVE,"Skillman Avenue, LIC, Queens County, NYC, New York, 11120, United States of America"
50039363,ESANATION,MANHATTAN,10019,2123150555,A,750 9TH AVE,"750, 9th Avenue, Hell's Kitchen, Manhattan, Manhattan Community Board 4, New York County, NYC, New York, 10019, United States of America"
41431917,FOREST THAI CUISINE,STATEN ISLAND,10310,7188769888,A,1211 FOREST AVENUE,"1211, Forest Avenue, Westerleigh, Staten Island, Richmond County, NYC, New York, 10310, United States of America"
50043058,Fulton Thai Restaurant,BROOKLYN,11238,7187895931,A,848 FULTON ST,"848, Fulton Street, Fort Greene, BK, Kings County, NYC, New York, 11238, United States of America"
41004486,GALANGA THAI COOKING,MANHATTAN,10012,2122284367,A,149 WEST 4 STREET,
50057511,GAW GAI,QUEENS,11101,9173193033,A,2306 JACKSON AVE,"Jackson Avenue, LIC, Queens County, NYC, New York, 11120, United States of America"
41428414,GHANG THAI KITCHEN,BROOKLYN,11201,7188751369,A,229 COURT STREET,"Ghang Thai Kitchen, 229, Court Street, Cobble Hill Historic District, Kings County, NYC, New York, 11201, United States of America"
41610426,GLOW THAI RESTAURANT,BROOKLYN,11209,7187481920,B,7107 3 AVENUE,
41701177,GO GO THAI,MANHATTAN,10011,2129299998,A,144 WEST   19 STREET,
41597788,GONG THAI RESTAURANT,MANHATTAN,10029,2123605874,A,173 EAST 99 STREET,
50042275,HERBS THAI BISTRO,MANHATTAN,10017,2128089388,A,251 EAST   45 STREET,
50047275,HI NOODLE THAI,BROOKLYN,11211,9173043857,A,333 GRAHAM AVE,"333, Graham Avenue, Williamsburg Houses, Kings County, NYC, New York, 11211, United States of America"
41288951,HI THAI,MANHATTAN,10002,2126777624,A,123 LUDLOW STREET,"123, Ludlow Street, Lower East Side, Manhattan, Manhattan Community Board 3, New York County, NYC, New York, 10002, United States of America"
50000834,HIVE THAI COOKING,QUEENS,11375,7182682099,A,7160 YELLOWSTONE BLVD,"Yellowstone Boulevard, Forest Hills, Queens County, NYC, New York, 11375, United States of America"
